ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
856089133,87852633,POINT (1.5230773 48.6454179),0.0,POINT (1.4987735 48.691944),7.5 km,29 mins
842621873,87852633,POINT (1.3798422 48.728863),1.0,POINT (1.4987735 48.691944),12.2 km,17 mins
838320706,87852633,POINT (1.3919715 48.7385156),1.0,POINT (1.4987735 48.691944),15.7 km,16 mins
776399834,87852633,POINT (1.3414973 48.7272205),1.0,POINT (1.4987735 48.691944),20.3 km,23 mins
854577575,87852633,POINT (1.3579211 48.7447023),0.0,POINT (1.4987735 48.691944),16.2 km,55 mins
648993440,87852633,POINT (1.2410824 48.7613818),1.0,POINT (1.4987735 48.691944),26.8 km,25 mins
888888888,87852633,POINT (1.3796637 48.7209265),1.0,POINT (1.4987735 48.691944),12.9 km,18 mins
480302361,87852633,POINT (1.3827051 48.7302065),1.0,POINT (1.4987735 48.691944),11.9 km,18 mins
710283561,87852633,POINT (1.374591 48.7325587),1.0,POINT (1.4987735 48.691944),13.3 km,17 mins
810259688,87852633,POINT (1.356134 48.711115),0.0,POINT (1.4987735 48.691944),14.6 km,53 mins
764144581,87852633,POINT (1.5004603 48.6603812),1.0,POINT (1.4987735 48.691944),4.9 km,7 mins
78007874,87852633,POINT (1.3803568 48.7389345),1.0,POINT (1.4987735 48.691944),15.8 km,16 mins
746414886,87852633,POINT (1.1976441 48.7694552),1.0,POINT (1.4987735 48.691944),30.0 km,32 mins
1452747150,87852633,POINT (1.2531719 48.8432071),0.0,POINT (1.4987735 48.691944),30.5 km,1 hour 41 mins
78005437,87852633,POINT (1.3562779 48.712418),1.0,POINT (1.4987735 48.691944),14.5 km,18 mins
213237245,87852633,POINT (1.2411202 48.7632262),1.0,POINT (1.4987735 48.691944),27.0 km,26 mins
609468992,87852633,POINT (1.2325806 48.6405554),1.0,POINT (1.4987735 48.691944),26.2 km,27 mins
818696864,87852633,POINT (1.3579211 48.7447023),1.0,POINT (1.4987735 48.691944),17.8 km,19 mins
813991780,87852633,POINT (1.0731951 48.6927148),1.0,POINT (1.4987735 48.691944),41.1 km,40 mins
