ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
559475456,803656603,POINT (1.3756893 48.7210523),POINT (1.3819999 48.7236),680,99,680,124
559277088,803656603,POINT (1.3756893 48.7210523),POINT (1.3819999 48.7236),680,99,680,124
87852633,803656603,POINT (1.4987735 48.691944),POINT (1.3819999 48.7236),12500,973,12858,2547
243033408,803656603,POINT (1.332848 48.726393),POINT (1.3819999 48.7236),4979,607,4927,1099
817127257,803656603,POINT (1.3833051 48.7249427),POINT (1.3819999 48.7236),312,52,312,55
480337694,803656603,POINT (1.3390499 48.7297346),POINT (1.3819999 48.7236),4606,645,4520,1005
87274454,803656603,POINT (1.465217 48.6745197),POINT (1.3819999 48.7236),10068,812,11102,2375
541258495,803656603,POINT (1.2034312 48.771986),POINT (1.3819999 48.7236),18997,1463,18390,3851
522099746,803656603,POINT (1.3745039 48.7290588),POINT (1.3819999 48.7236),1520,199,1122,253
192451998,803656603,POINT (1.3327037 48.7263435),POINT (1.3819999 48.7236),4990,608,4924,1098
552306887,803656603,POINT (1.3748625 48.7296135),POINT (1.3819999 48.7236),1458,190,1107,253
559475456,446362468,POINT (1.3756893 48.7210523),POINT (1.436412 48.7251381),6945,661,5763,1324
559277088,446362468,POINT (1.3756893 48.7210523),POINT (1.436412 48.7251381),6945,661,5763,1324
87852633,446362468,POINT (1.4987735 48.691944),POINT (1.436412 48.7251381),8100,607,6742,1407
243033408,446362468,POINT (1.332848 48.726393),POINT (1.436412 48.7251381),13709,942,9661,2192
817127257,446362468,POINT (1.3833051 48.7249427),POINT (1.436412 48.7251381),5670,658,4771,1133
480337694,446362468,POINT (1.3390499 48.7297346),POINT (1.436412 48.7251381),13336,980,9255,2098
87274454,446362468,POINT (1.465217 48.6745197),POINT (1.436412 48.7251381),8561,671,7271,1647
541258495,446362468,POINT (1.2034312 48.771986),POINT (1.436412 48.7251381),23628,1534,24208,4783
522099746,446362468,POINT (1.3745039 48.7290588),POINT (1.436412 48.7251381),6027,727,5949,1419
192451998,446362468,POINT (1.3327037 48.7263435),POINT (1.436412 48.7251381),13720,943,9659,2191
552306887,446362468,POINT (1.3748625 48.7296135),POINT (1.436412 48.7251381),5965,718,5933,1419
803656603,446362468,POINT (1.3819999 48.7236),POINT (1.436412 48.7251381),5793,658,5084,1200
